target,status,peak_period_days,peak_statistic,threshold,peak_amplitude_us,noise_adequacy_flag
J1807-0847,NO_TRIGGER,293.1194718121811,10.880310136653696,22.619169081904396,29.780051475828408,False
J0134-2937,NO_TRIGGER,34.74562884197467,7.389214830228701,22.46642312433525,20.459531987696153,False
J1453-6413,NO_TRIGGER,30.392166395628767,16.591205808239067,22.54933655169194,14.464291398790033,False
J1224-6407,NO_TRIGGER,80.2306802503018,5.811289473961779,22.539158412676997,10.109911221959035,False
