target,status,peak_period_days,peak_statistic,threshold,peak_amplitude_us,null_reduced_chi2,noise_adequacy_flag,result_sha256
J1901+0716,NO_TRIGGER,70.55368901660901,7.109367181434222,26.44441742474809,141.68928041669724,1.010959059366335,False,22d6473edbbe433ac07d74eb2c8ba206dce0505947cc66a488b6ea0bdfb69fee
J1918+1444,NO_TRIGGER,41.61217448325912,9.261303958305962,26.224626083101654,145.61627468098163,1.015166199454787,False,2d9ce7796ada0d3d40b27aaa1a6fcd2dbcf5b7a7be7f5ee366927490b933b2c4
J1801-0357,NO_TRIGGER,31.929718427548256,11.296117343803214,26.36126457105661,216.99941979187295,1.0045697223376497,False,88b8f1032410ebaa0c72f1ae2bf9bb72c7e9784f9bb4df37199f545d6395d6b4
J1738-3211,NO_TRIGGER,80.99888246164136,8.932989008220623,26.204321340173617,177.80847184007007,1.0034336060167481,False,c2af2004e42af3ec46ca3efad7caf1b448b7b77f8ed415a4330f58ad5507959a
J1949-2524,NO_TRIGGER,37.297404263291064,8.662727270187023,26.44441742474809,185.88454863243692,0.9999042208891188,False,f567816e948bde8aec2933f4b139d9ac97bb87340da0f9e134f03bc80cb29ad9
J1741-0840,NO_TRIGGER,51.56098758932005,9.251417411417215,26.244726754808656,188.5691325326496,1.0014019726418906,False,1f0b4ba3697cecbcd9678ef32df1135ada3a23b28a94caffe7cf2a7c80432569
J1828-1101,NO_TRIGGER,33.13964379723558,6.355715307216126,26.19409113884008,216.91012147611764,1.0052160425552341,False,1692a7dad091cc02f3df87a23869062b7a89a89b9b6b6ca3891344400df68452
J1841-0157,NO_TRIGGER,101.60054673005928,11.916989711721754,26.23470167116157,253.20603821611914,1.0188439819590107,False,4dbfaa852c3c811fea2ce2d61576cacfde11a1fff0c1e55efe03be722bb3666a
J1833-0338,NO_TRIGGER,31.532949596696366,11.787232184213984,26.23470167116157,106.74258276335543,0.9956890552634612,False,b5fa8c5a3c64e90d24337781a0b138b53cbc6cd84fdb7d1271af8e1af4d9f1c7
J0846-3533,NO_TRIGGER,156.89616627365317,12.996385599810221,26.244726754808656,320.06823702446394,1.0158041093937646,False,b043324140db3ec212b59de32502a31667a51cbae920e9241143573968bc1e57
J1740+1000,NO_TRIGGER,189.0495341514592,7.483483912931453,26.244726754808656,398.2752409184552,0.9973911608624846,False,943588f7aa543846df6e467486b043985ccc756dd7297c922b04802fd741b67d
J1919+0021,NO_TRIGGER,182.27198190931512,7.683929793271689,26.224626083101654,222.44653108880212,1.008125948831423,False,149c3fe13cacc7015412abb59fbf1cc85f289a6c739dba50391413713dfb5a9d
J1830-1059,NO_TRIGGER,42.71151506793051,6.355214464383115,26.173472399522357,102.3668728338841,0.9897008318759644,False,e110baac717ed00bd2adb733cd65056de2efff4fb261c0d7d5ab8ca33a29fcfc
J1603-2712,NO_TRIGGER,114.56666339518627,10.44276156273993,26.244726754808656,258.31249573369973,0.9945898893352723,False,acc7c5bc751a590e396f31d508f19c21a34bf11a25f165ea15c81aa445677b00
J1752-2806,NO_TRIGGER,110.97366280219946,14.675179151724917,26.204321340173617,303.5409325130532,1.0088107696684072,False,02cd731203a523040d38d05128406ba369c5f611040900a721fa1449e93ae2f5
J1851+1259,NO_TRIGGER,90.9560912982145,9.296735247451407,26.224626083101654,307.23525934134705,0.9887191162434968,False,534d8eb3499f4634db4dd688d0e4bad3d1d84dfa247a5fdf67c215a1dfd9be18
J1825-1446,NO_TRIGGER,40.90090280499328,15.887547424505225,26.19409113884008,301.39487175906794,0.9871746653322857,False,ed7d7ea027bc9547d26f61bddf80ac6fd3f3335fd257ef66e2e68539944e7f77
J1856-0526,NO_TRIGGER,35.06337365517426,7.322318633189181,26.44441742474809,313.1055339225018,0.9795428604159617,False,ccd5ea51a5361754aa5f594dc53cadc4414b658d37cb4f06c580fb896290c3ad
J2155-3118,NO_TRIGGER,32.05065087219575,10.439546182230389,26.183808339839242,533.9767184908637,0.9944081208135992,False,8929550ac093e52a1a0bad1a3c51e6a450db552d0041e933e55102b9fba76310
J1945-0040,NO_TRIGGER,32.14917732343317,7.352499259379428,26.224626083101654,444.43894681168496,0.9956648961972349,False,d3c7a4f102864660ed30b764fdaddb4c2d312971570b3406d62d0e2611cb2efd
J1921+1419,NO_TRIGGER,114.0531896140252,8.551620673422239,26.173472399522357,452.89385684848196,1.003311611744842,False,77cd244114d35010e853740994eadc843a9404f64c085d0eca39d753935322d1
J1905+0709,NO_TRIGGER,31.668047185729478,8.364453845347786,26.224626083101654,774.0490258212939,1.0424138663613023,False,0ee55daa000331411952682cc259e4d3d341f3da4ed6324ee38b23edf4ca2fb1
J1825-0935,NO_TRIGGER,40.51965275906369,6.00264332509312,26.506783279621466,400.583247995178,1.006667151535657,False,d09fec052cfaa5c1b4acd55e758db89afb0a7264e714cd47e0dfd0d60cc0fbba
J1946+1805,NO_TRIGGER,35.17005999568394,7.101754106369697,26.224626083101654,583.8323545243288,0.9772855985664447,False,7e90b73b6d01f78c17da8654135a7860efb529ab242830ad68d98cce542ac865
J1921+1948,NO_TRIGGER,43.60850291674097,9.043310235635811,26.224626083101654,621.2693654766567,1.0020719179910436,False,e44e919838c585c6cb02cb8772e4e74828e7d9059df01bcc34a1766a83534cc9
