target,status,toas,epochs,peak_period_days,peak_statistic,threshold,null_reduced_chi2,noise_adequacy_flag,sensitivity_median_worst_phase_us,sensitivity_near_100_days_us
J1629-6902,NO_TRIGGER,3106,102,41.77223075350435,7.3486370740413225,24.85041635089369,0.9669096332965428,False,1.0724008099312663,1.05851120150422
J0711-6830,NO_TRIGGER,2830,100,47.59245302837718,19.287273649005233,24.801633444645372,1.0000221507544238,False,1.2171654764080877,1.1396141612756843
J1658-5324,NO_TRIGGER,1161,71,35.19732979897198,12.652573023835265,24.691669175810667,0.986823443320179,False,2.6251908759439058,2.579616187799101
J0636-3044,NO_TRIGGER,2217,80,31.636408715942956,9.006608888686948,24.768437661827296,0.9990317030644156,False,2.6864647466953824,2.5733486590491186
J1843-1448,NO_TRIGGER,1969,62,202.14261051209667,12.752492074222038,24.785104424945583,1.0184479048604576,False,10.514133093882371,10.676002846423057
J1843-1113,NO_TRIGGER,2886,96,90.11999295512251,9.941674769616512,24.793386010277647,0.9866339921356841,False,0.8070758697319527,0.7988527781276844
J1730-2304,NO_TRIGGER,3030,96,36.851306274440844,7.280493300051796,24.793386010277647,1.001066491578659,False,0.9544466887973586,0.945450021698084
J2010-1323,NO_TRIGGER,3121,101,82.27616109785494,11.404739055328113,24.785104424945583,1.0119015858118208,False,1.0803979075501364,1.0557438029057018
J2124-3358,NO_TRIGGER,3138,99,89.89379521742207,12.472068529288206,24.785104424945583,0.997114820149976,False,1.3394642977274962,1.2484256401014082
J0931-1902,NO_TRIGGER,1903,81,52.07547308575475,6.970934654075743,24.647711362373116,0.9997649975961505,False,2.1355109122337437,2.1611963452056857
