target,status,peak_period_days,peak_statistic,threshold,peak_amplitude_us,null_reduced_chi2,noise_adequacy_flag,result_sha256
J1514-4834,NO_TRIGGER,38.15110093209639,8.754368021157577,26.244726754808656,40.344827817179336,0.9901304840443577,False,21da4402927c2b71c2566199c8f38703380f2898cc192194f0a4cccf1cc5145a
J0955-5304,NO_TRIGGER,146.23141129693948,6.868362775386789,26.244726754808656,36.42525921889661,0.9962527383608732,False,d22e7836457ce7ff0e80e1bd842c69b8f233ad6301882c4ddf373b3d73291723
J0922-4949,NO_TRIGGER,87.90772346460705,9.987149822186554,26.204321340173617,45.73664126388269,1.0015184809356859,False,15a749f2c17548398be08c314c35ef07a6d9e1dfc9ed4f460dade40c49d56916
J1123-4844,NO_TRIGGER,178.60764838292607,9.709443524048714,26.244726754808656,42.40267844735707,0.980685957344858,False,ad41d6ac9e7aba26da691f0b7bfbbae193629ae408033a911f108b5362fb12a3
J1112-6613,NO_TRIGGER,44.16319107435025,7.124255282703716,26.244726754808656,45.42726002201202,1.0230020812391274,False,7e8b9ef21005c2626c10b1b091aca047a7c432bc56d6e5405a8233abb6935107
J1413-6307,NO_TRIGGER,55.561811978607686,8.199001029551296,26.244726754808656,45.63385739914605,1.007991608108262,False,d0307f944daae70cfb6f82e2ed6206335159ca0854d48a0c5f7606da07a02e90
J1259-6741,NO_TRIGGER,46.41348833639193,8.210833580611045,26.120975947372482,52.533126376100014,1.0064726196370877,False,49f580019315e7b9a9ad50f850439cf84c1edc3eb16f415ce81013b055d3d738
J1202-5820,NO_TRIGGER,48.47697116740626,9.412050147380592,26.244726754808656,56.806842107275756,1.0165708463672585,False,ee1664d594a6db5fd68165941b01236bdf56fd020c1cc101b1f9bc3a4d0f18ab
J0908-4913,NO_TRIGGER,129.9685360331201,6.516658721843845,26.21449947918856,78.84283997198955,0.967817544476622,False,87b60ffe18ad95f58cd4c224338de5deba2d073e017ccd36d6b814849680e1f6
J1036-4926,NO_TRIGGER,52.41372468703688,12.148015853080214,26.244726754808656,68.50100758718165,0.9854876173117817,False,9d2baaa0a5fa085ee0854dbd66378975eeadfdb5e5b1df5518a16701a28845bd
J1603-5657,NO_TRIGGER,38.56921349615956,10.428828888146837,26.152638877805845,34.44766460304257,1.0099334603131216,False,94a86e9440a2ce36f82e2911456ec0579b5566377d71d3c6333b9c168b404fa2
J1908+0500,NO_TRIGGER,62.43314361168452,6.801984634508421,26.224626083101654,69.24409424193529,0.9719604985171489,False,70e4765b92d0a64814d3b0e316cc548c47f7e812a750d7907466349d087437c0
J1743-4212,NO_TRIGGER,50.00528857394039,8.736512470873484,26.254701837830737,65.80103806786825,1.0198550391758339,False,52bdd6c816cdbe4c61a7d005d6fe32a01ddf7168b7bacd2969922764921dc009
J0942-5657,NO_TRIGGER,31.46163373064077,4.198042840273159,26.244726754808656,69.09324442050583,0.9985278384537482,False,c19aa9aa8a436f628e12a6954108560627c136a51da02ca24e02e01e601c180f
J1943+0609,NO_TRIGGER,37.44772699198567,7.235547170225671,26.224626083101654,67.58388318009622,1.0068449538767328,False,f9995de97eec91ae021a30e76b960d346f0cb238d7f5768d7976bc59c740676d
J1528-4109,NO_TRIGGER,32.05360457997057,9.295015054875446,26.120975947372482,92.88520772816838,0.9987203202507124,False,59acf5e96ac54ffc91ad06b153467552f2e90dbea16c362b6b3efd659bb4088d
J1047-6709,NO_TRIGGER,34.7376767132029,7.945646184542769,26.21449947918856,80.08125983242849,1.0000375929701781,False,5777689ba57547c788355f74797af7e0c3938fd98fbb5708ccb1fb22c425e5ed
J1530-5327,NO_TRIGGER,69.0550754990013,10.627401772043381,26.16308276576815,90.06428027249757,1.0059769643218335,False,b5ba8ecb7397876e238fdb95a7e3c8fafc56968f17495baf96020b0393235956
J0901-4624,NO_TRIGGER,38.477355389410995,7.364720338107629,26.120975947372482,70.55840794859104,0.9951580585733328,False,abc2476fe4c5f8b34ddb12572ba11d0573b31f5a1d8c838e3a52d6d1e8b27f43
J1910+0728,NO_TRIGGER,69.22778829867204,7.389146095818886,26.224626083101654,85.36848890856753,1.0059397110326407,False,2a8629d18eed1b41812a1abcebc7570b3856f387e211a7534c12fe7ba706c1d0
J1326-6408,NO_TRIGGER,30.15355575593176,12.83041327738194,26.204321340173617,104.40183267092833,1.0114266288680915,False,4362d4df6af52f3b72efc2d78535e6cda74f3413a64e359ed3b82af7e0252166
J1121-5444,NO_TRIGGER,58.07267332724481,7.265586586928393,26.244726754808656,64.005286597331,1.0032752109497456,False,e0dbc80fc340a0e920e64ba77df9ed66658bce4118b18553c307f47fe3cd0fed
J1542-5034,NO_TRIGGER,65.83141813390984,7.214375285452881,26.480292826121424,82.96899657279687,0.9755573760833842,False,e739f401d6503dd39404b717cb72902bfd793a326145398d9da205e193fbca57
J1658-4958,NO_TRIGGER,60.22977029018259,7.424992600227109,26.244726754808656,104.47122913792231,1.006924083333044,False,50d419c907088ef40fef01b6c1d346152884f250762d9c67777a4a4a3af80a40
J1507-4352,NO_TRIGGER,34.66722393050731,7.664224111948657,26.244726754808656,63.497308914223474,0.99464162756117,False,c27cf8847c8365639e399df72b177c9337e1d7604ae08252fbd5b6bd1ec912dd
