period_days,frequency_per_day,eligible,retained_power,best_phase_95_amplitude_us,worst_phase_95_amplitude_us
30.0,0.03333333333333333,True,0.8971551775408825,13.937020908463746,14.25631241958351
30.00799153816157,0.03332445621121582,True,0.8962330363731473,13.884710805234384,14.316116149207799
30.04667893514396,0.0332815484253188,True,0.8908458214982214,13.730819601376053,14.541783509835755
30.085466215305356,0.03323864063942179,True,0.8874928101465447,13.709465555456232,14.6646738462883
30.12435376596358,0.03319573285352478,True,0.8759941506123975,13.54432914418874,14.982811685066828
30.163341976441547,0.03315282506762776,True,0.8700236429030853,13.275303316299754,15.447997023209066
30.202431238080315,0.033109917281730745,True,0.8783597797377032,13.08528773095917,15.7724110642783
30.241621944252156,0.03306700949583374,True,0.8843787841523995,12.96988999588553,15.920991052487201
30.280914490373767,0.03302410170993672,True,0.8798150408694745,12.861067751827733,16.023840589917768
30.320309273919545,0.032981193924039705,True,0.8827631499955322,12.777539571016394,16.078975268840548
30.359806694435,0.03293828613814269,True,0.8961180284335533,12.725544109315507,16.095919786757033
30.39940715355027,0.03289537835224568,True,0.9122681096266353,12.63444539520657,16.210608951563383
30.439111054993738,0.032852470566348664,True,0.9306576144707281,12.509267394527333,16.39034324846695
30.47891880460573,0.03280956278045165,True,0.9534991181212283,12.428293430205315,16.44937461127049
30.518830810352362,0.03276665499455463,True,0.9738697865516046,12.42969530263673,16.3317219531848
30.558847482339463,0.03272374720865762,True,0.9785625116812904,12.534634725916352,16.067082542617356
30.598969232826647,0.03268083942276061,True,0.9713937205998193,12.759834892733856,15.677927843609483
30.63919647624144,0.03263793163686359,True,0.960037987871168,13.060162944704883,15.242476102882968
30.679529629193564,0.032595023850966576,True,0.959133867691919,13.334890092908214,14.858728311971012
30.719969110489313,0.03255211606506957,True,0.9696344928516003,13.51173383485401,14.570325578399075
30.760515341146068,0.03250920827917255,True,0.9739841451584451,13.548379898914968,14.434610768612078
30.801168744406876,0.032466300493275535,True,0.9746235027679123,13.456269979662185,14.486151085849936
30.841929745755206,0.03242339270737852,True,0.9734934305771334,13.387173827110624,14.57830013367537
30.882798772929767,0.03238048492148151,True,0.9617472689690592,13.463566472651717,14.54645709947298
30.923776255939504,0.032337577135584494,True,0.9484656450815038,13.655557457540123,14.416975983648577
30.964862627078645,0.03229466934968748,True,0.9397921503145003,13.659257194710687,14.549914844117643
31.006058320941918,0.03225176156379046,True,0.9296227821193517,13.427420186619207,15.027851582831648
31.047363774439873,0.032208853777893454,True,0.9043013090782092,13.115990918465315,15.706870553628162
31.088779426814337,0.03216594599199644,True,0.8713093620804448,12.804501901364548,16.455063916643105
31.130305719653975,0.03212303820609942,True,0.8459251441190545,12.624831879162624,16.90841822019942
31.171943096909974,0.032080130420202406,True,0.8394545563855825,12.646302912382204,16.81375478187471
31.21369200491187,0.0320372226343054,True,0.8522681257877748,12.842185993951103,16.33072730324944
31.255552892383534,0.03199431484840838,True,0.877560698202037,13.176690624992093,15.685673292529057
31.29752621045918,0.031951407062511365,True,0.9041585894543228,13.649050152750416,14.955087046065767
31.339612412699623,0.03190849927661435,True,0.918303172942107,14.14361023961438,14.3038385588436
31.38181195510859,0.03186559149071734,True,0.9251108587796745,13.694048635707658,14.682828456910265
31.42412529614922,0.031822683704820325,True,0.9387754186293442,13.381452858486638,14.941841328825134
31.466552896760632,0.03177977591892331,True,0.9546071229288093,13.256187875126493,15.013036017098486
31.50909522037467,0.03173686813302629,True,0.9595927829383881,13.277906977450877,14.94835248170107
31.5517527329328,0.03169396034712928,True,0.9534524444434476,13.402360909873927,14.795188878534022
31.594525902903086,0.03165105256123227,True,0.9482278774829052,13.54375338759886,14.64778552110462
31.637415201297383,0.03160814477533525,True,0.9424938570160776,13.62553329003618,14.581962989823905
31.68042110168858,0.031565236989438236,True,0.9276590938261373,13.666585992203935,14.55758948344845
